Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2019-03-16,LTCUSD,58.18,62,58.17,60.45,33956.38,2069794.4
2019-03-15,LTCUSD,55.59,58.63,55.59,58.18,12530.16,717582.33
2019-03-14,LTCUSD,55.17,57.82,52.85,55.59,14340.73,792614.73
2019-03-13,LTCUSD,56.21,56.42,54.07,55.17,10756.46,594050.83
2019-03-12,LTCUSD,54.6,56.62,52.07,56.21,17854.03,973807.88
2019-03-11,LTCUSD,56.34,57.04,53.64,54.6,16974.06,935533.34
2019-03-10,LTCUSD,57.48,57.65,55.57,56.34,10627.27,601071.65
2019-03-09,LTCUSD,55.29,59,55.19,57.48,24269.03,1389110.17
2019-03-08,LTCUSD,56.4,57.29,54.09,55.29,23612.44,1317780.15
2019-03-07,LTCUSD,55.16,58.71,53.8,56.4,35494.88,1994471.39
2019-03-06,LTCUSD,52.42,56.39,51.17,55.16,23779.86,1285859.59
2019-03-05,LTCUSD,45.62,54.23,45.21,52.42,38851.43,1983756.57
2019-03-04,LTCUSD,47.58,47.86,44.65,45.62,18994.37,870146.32
2019-03-03,LTCUSD,48.28,48.73,46.88,47.58,8908.71,428586.26
2019-03-02,LTCUSD,46.83,49.1,46.25,48.28,8233.5,391880.81
2019-03-01,LTCUSD,45.35,48.86,45.29,46.83,19130.85,908720.59
2019-02-28,LTCUSD,44.94,46.44,44.44,45.35,14129.21,644915.84
2019-02-27,LTCUSD,44.72,45.34,42.33,44.94,17387.48,767792.15
2019-02-26,LTCUSD,45.31,45.73,44.07,44.72,16416.29,734495.67
2019-02-25,LTCUSD,43.54,46.74,43.48,45.31,32527.96,1475454.43
2019-02-24,LTCUSD,51.24,53.41,42.44,43.54,90629.11,4215889.81
2019-02-23,LTCUSD,49.01,51.83,47.8,51.24,37443.66,1869983.06
2019-02-22,LTCUSD,48.43,49.4,47.7,49.01,24300.65,1186095.12
2019-02-21,LTCUSD,51.13,51.16,47.45,48.43,28201.07,1385134.39
2019-02-20,LTCUSD,46.9,52.25,46.1,51.13,50721.34,2516958.7
2019-02-19,LTCUSD,47.4,48.89,46.44,46.9,23510.67,1117041.42
2019-02-18,LTCUSD,43.35,48.71,43.2,47.4,53129.13,2430834.45
2019-02-17,LTCUSD,42.96,45,42.01,43.35,21029.9,907680.56
2019-02-16,LTCUSD,42.12,44.04,41.75,42.96,22978.14,992320.65
2019-02-15,LTCUSD,40.96,44.37,40.72,42.12,24088.88,1010253.67
2019-02-14,LTCUSD,41.27,42,39.9,40.96,16086.57,661816.6
2019-02-13,LTCUSD,43.25,44.13,40.26,41.27,25775.62,1080139.54
2019-02-12,LTCUSD,42.37,44.05,41.52,43.25,19641.54,846772.56
2019-02-11,LTCUSD,46.43,46.51,37.5,42.37,47818.31,2080478.41
2019-02-10,LTCUSD,44.3,46.99,41.83,46.43,51366.1,2291005.02
2019-02-09,LTCUSD,42.52,46.09,41.81,44.3,55244.59,2410566.32
2019-02-08,LTCUSD,32.83,44.57,32.52,42.52,117159.85,4622858.29
2019-02-07,LTCUSD,32.42,33.16,32.39,32.83,7926.8,259907.57
2019-02-06,LTCUSD,33.94,34.14,30.58,32.42,33812.83,1090059.26
2019-02-05,LTCUSD,33.61,34.06,33.26,33.94,14454.55,488580.3
2019-02-04,LTCUSD,33.07,34.2,33.07,33.61,12381.59,417203.82
2019-02-03,LTCUSD,34.17,34.54,32.61,33.07,15921.59,534467.22
2019-02-02,LTCUSD,32.43,34.61,32.2,34.17,16893.47,560646.42
2019-02-01,LTCUSD,31.18,33.24,30.5,32.43,32110.3,1023849.85
2019-01-31,LTCUSD,31.54,32.21,30.9,31.18,13511.7,427197.01
2019-01-30,LTCUSD,30.67,31.75,30.4,31.54,9018.61,281616.47
2019-01-29,LTCUSD,30.88,31.16,29.92,30.67,11632.97,356464.35
2019-01-28,LTCUSD,32.01,32.2,29.89,30.88,11584.09,358603.82
2019-01-27,LTCUSD,32.7,32.96,31.21,32.01,8779.08,283628.6
2019-01-26,LTCUSD,32.7,33.93,32.56,32.7,12717.66,420793.1
2019-01-25,LTCUSD,32.43,32.96,31.88,32.7,18021.77,581857.75
2019-01-24,LTCUSD,31.66,33.06,31.04,32.43,12865.18,415810.42
2019-01-23,LTCUSD,31.5,32.21,31.26,31.66,10610.71,336361.46
2019-01-22,LTCUSD,30.91,32.49,29.39,31.5,25000.09,778450.95
2019-01-21,LTCUSD,30.57,31.24,30.47,30.91,7134.0,219486.14
2019-01-20,LTCUSD,32.2,33.03,30.31,30.57,15150.4,473633.66
2019-01-19,LTCUSD,30.85,33.12,30.85,32.2,14478.66,465581.81
2019-01-18,LTCUSD,31.64,31.69,30.57,30.85,12790.77,397870.96
2019-01-17,LTCUSD,31.37,31.68,29.91,31.64,16050.92,495607.45
2019-01-16,LTCUSD,31.05,32.17,30.78,31.37,10028.71,313191.41
2019-01-15,LTCUSD,32,32.45,30.35,31.05,18311.0,579215.58
2019-01-14,LTCUSD,29.81,32.82,29.77,32,13734.35,433538.05
2019-01-13,LTCUSD,32.01,32.83,29.61,29.81,19726.14,613187.27
2019-01-12,LTCUSD,31.7,32.35,31.5,32.01,11016.58,352015.2
2019-01-11,LTCUSD,33.37,33.64,31.01,31.7,32161.17,1042048.05
2019-01-10,LTCUSD,38.5,39.18,32,33.37,63060.25,2201151.83
2019-01-09,LTCUSD,39.12,39.97,38.41,38.5,14788.54,579159.66
2019-01-08,LTCUSD,37.61,41.19,37.52,39.12,46658.17,1850985.29
